    , time                     , open   , high   , low    , close  , volume, bb_upper, bb_middle, bb_lower, percentb
1095, 2024-11-04 20:50:00+00:00, 67467.0, 67555.4, 67453.0, 67453.0,   10.2,  68060.5,   67743.8,  67427.1, 0.0
1096, 2024-11-04 20:55:00+00:00, 67453.1, 67517.8, 67323.0, 67345.4,   17.9,  68065.3,   67715.1,  67364.9, -0.0
1097, 2024-11-04 21:00:00+00:00, 67345.4, 67536.8, 67337.2, 67442.1,    3.9,  68036.5,   67688.4,  67340.4, 0.1
1098, 2024-11-04 21:05:00+00:00, 67448.4, 67558.0, 67448.4, 67471.7,    8.6,  67998.0,   67663.4,  67328.8, 0.2
1099, 2024-11-04 21:10:00+00:00, 67471.5, 67505.6, 67451.4, 67505.6,    5.9,  67962.5,   67642.8,  67323.0, 0.3
1100, 2024-11-04 21:15:00+00:00, 67505.5, 67602.1, 67492.6, 67602.0,    2.8,  67928.7,   67628.6,  67328.6, 0.5
1101, 2024-11-04 21:20:00+00:00, 67602.0, 67624.1, 67076.3, 67181.0,   44.1,  67938.3,   67595.9,  67253.5, -0.1
1102, 2024-11-04 21:25:00+00:00, 67187.2, 67555.6, 67187.2, 67487.6,   17.3,  67901.1,   67577.5,  67253.9, 0.4
1103, 2024-11-04 21:30:00+00:00, 67494.0, 67523.3, 67105.0, 67237.5,   12.1,  67882.4,   67548.0,  67213.5, 0.0
1104, 2024-11-04 21:35:00+00:00, 67225.6, 67228.5, 66923.4, 67082.2,   31.1,  67870.4,   67509.3,  67148.3, -0.1
1105, 2024-11-04 21:40:00+00:00, 67087.3, 67123.5, 66920.0, 67005.9,   33.8,  67878.3,   67472.5,  67066.7, -0.1
1106, 2024-11-04 21:45:00+00:00, 67005.8, 67239.9, 66928.4, 67020.1,   14.7,  67875.7,   67438.7,  67001.6, 0.0
1107, 2024-11-04 21:50:00+00:00, 67027.9, 67060.9, 66835.1, 66937.0,   30.2,  67873.7,   67401.1,  66928.6, 0.0
